CR_RETURNED_DATE_SK,CR_RETURNED_TIME_SK,CR_ITEM_SK,CR_REFUNDED_CUSTOMER_SK,CR_REFUNDED_CDEMO_SK,CR_REFUNDED_HDEMO_SK,CR_REFUNDED_ADDR_SK,CR_RETURNING_CUSTOMER_SK,CR_RETURNING_CDEMO_SK,CR_RETURNING_HDEMO_SK,CR_RETURNING_ADDR_SK,CR_CALL_CENTER_SK,CR_CATALOG_PAGE_SK,CR_SHIP_MODE_SK,CR_WAREHOUSE_SK,CR_REASON_SK,CR_ORDER_NUMBER,CR_RETURN_QUANTITY,CR_RETURN_AMOUNT,CR_RETURN_TAX,CR_RETURN_AMT_INC_TAX,CR_FEE,CR_RETURN_SHIP_COST,CR_REFUNDED_CASH,CR_REVERSED_CHARGE,CR_STORE_CREDIT,CR_NET_LOSS
2452323,8144,444563,96446477.0,953964.0,4298.0,38389385.0,14929772.0,1519239.0,3761.0,29496636.0,21.0,26756.0,15.0,10.0,55.0,11566023568,1.0,152.94,13.76,166.70,74.25,26.16,77.99,40.47,34.48,114.17
2452323,12032,444563,1060544.0,1864235.0,7126.0,25896417.0,93699002.0,579332.0,5153.0,11922174.0,57.0,29376.0,4.0,5.0,51.0,11448375225,13.0,100.75,8.06,108.81,26.43,57.59,89.66,1.10,9.99,92.08
2452323,56574,444563,28544817.0,511271.0,1725.0,10665779.0,86478436.0,1289150.0,2759.0,47113168.0,31.0,27492.0,8.0,27.0,69.0,10441745757,28.0,994.56,39.78,1034.34,34.05,99.40,169.07,330.19,495.30,173.23
2452323,65441,444563,72897173.0,1478325.0,6677.0,10018676.0,79051961.0,1689098.0,5065.0,24646632.0,39.0,25846.0,6.0,23.0,45.0,10600089471,4.0,156.44,7.82,164.26,38.21,122.88,150.18,5.19,1.07,168.91
2452323,64627,444563,44770556.0,1666915.0,6827.0,13003186.0,43425318.0,1118657.0,2540.0,38990928.0,39.0,26503.0,5.0,23.0,1.0,11995517668,18.0,924.30,73.94,998.24,72.98,264.06,351.23,126.07,447.00,410.98
2452323,3612,444563,8034240.0,856588.0,3383.0,2778531.0,19123371.0,1385061.0,4639.0,44877817.0,3.0,29472.0,11.0,6.0,29.0,11541728338,3.0,124.86,6.24,131.10,3.32,65.22,122.36,2.12,0.38,74.78
2452323,82631,444563,28208609.0,1325447.0,2732.0,6120370.0,52459645.0,1653561.0,6647.0,3541333.0,7.0,29313.0,11.0,27.0,38.0,11700059242,6.0,53.94,0.53,54.47,40.62,34.56,41.53,8.19,4.22,75.71
2452323,46609,444563,79466576.0,1462038.0,7100.0,36842562.0,58124424.0,835475.0,5953.0,43411631.0,3.0,29403.0,5.0,13.0,46.0,11472354788,2.0,173.46,3.46,176.92,98.60,21.92,62.44,92.14,18.88,123.98
2452323,67205,444563,2224979.0,1087967.0,3402.0,4418037.0,65560222.0,1510916.0,1391.0,24880666.0,9.0,25585.0,18.0,3.0,63.0,10845560730,2.0,123.84,2.47,126.31,66.15,105.50,28.48,39.09,56.27,174.12
2452323,67205,444563,2224979.0,1087967.0,3402.0,4418037.0,65560222.0,1510916.0,1391.0,24880666.0,9.0,25585.0,18.0,3.0,63.0,10836469822,2.0,123.84,2.47,126.31,66.15,105.50,28.48,39.09,56.27,174.12
2452323,32204,444563,16275571.0,1117405.0,4039.0,21505073.0,1740227.0,1851325.0,6737.0,23052196.0,39.0,25462.0,6.0,28.0,72.0,11992065580,11.0,68.53,4.79,73.32,42.76,78.98,60.99,2.48,5.06,126.53
