SR_RETURNED_DATE_SK,SR_RETURN_TIME_SK,SR_ITEM_SK,SR_CUSTOMER_SK,SR_CDEMO_SK,SR_HDEMO_SK,SR_ADDR_SK,SR_STORE_SK,SR_REASON_SK,SR_TICKET_NUMBER,SR_RETURN_QUANTITY,SR_RETURN_AMT,SR_RETURN_TAX,SR_RETURN_AMT_INC_TAX,SR_FEE,SR_RETURN_SHIP_COST,SR_REFUNDED_CASH,SR_REVERSED_CHARGE,SR_STORE_CREDIT,SR_NET_LOSS
2452414,40976.0,189883,34501587.0,856670.0,6479.0,15325088.0,1519.0,56.0,19629075319,1.0,20.57,0.61,21.18,19.13,5.77,0.00,18.30,2.27,25.51
2452414,40976.0,189883,34501587.0,856670.0,6479.0,15325088.0,1519.0,56.0,20726802462,1.0,20.57,0.61,21.18,19.13,5.77,0.00,18.30,2.27,25.51
2452414,40976.0,189883,34501587.0,856670.0,6479.0,15325088.0,1519.0,56.0,7431347721,1.0,20.57,0.61,21.18,19.13,5.77,0.00,18.30,2.27,25.51
2452414,40976.0,189883,34501587.0,856670.0,6479.0,15325088.0,1519.0,56.0,12388166035,1.0,20.57,0.61,21.18,19.13,5.77,0.00,18.30,2.27,25.51
2452414,40976.0,189883,34501587.0,856670.0,6479.0,15325088.0,1519.0,56.0,20010893457,1.0,20.57,0.61,21.18,19.13,5.77,0.00,18.30,2.27,25.51
2452414,40976.0,189883,34501587.0,856670.0,6479.0,15325088.0,1519.0,56.0,20951802435,1.0,20.57,0.61,21.18,19.13,5.77,0.00,18.30,2.27,25.51
2452414,40976.0,189883,34501587.0,856670.0,6479.0,15325088.0,1519.0,56.0,2624529411,1.0,20.57,0.61,21.18,19.13,5.77,0.00,18.30,2.27,25.51
2452414,40976.0,189883,34501587.0,856670.0,6479.0,15325088.0,1519.0,56.0,20835893358,1.0,20.57,0.61,21.18,19.13,5.77,0.00,18.30,2.27,25.51
2452414,40976.0,189883,34501587.0,856670.0,6479.0,15325088.0,1519.0,56.0,19540438953,1.0,20.57,0.61,21.18,19.13,5.77,0.00,18.30,2.27,25.51
2452414,40976.0,189883,34501587.0,856670.0,6479.0,15325088.0,1519.0,56.0,15149529745,1.0,20.57,0.61,21.18,19.13,5.77,0.00,18.30,2.27,25.51
2452414,40976.0,189883,34501587.0,856670.0,6479.0,15325088.0,1519.0,56.0,15088166107,1.0,20.57,0.61,21.18,19.13,5.77,0.00,18.30,2.27,25.51
2452414,40976.0,189883,34501587.0,856670.0,6479.0,15325088.0,1519.0,56.0,21129075141,1.0,20.57,0.61,21.18,19.13,5.77,0.00,18.30,2.27,25.51
2452414,40976.0,189883,34501587.0,856670.0,6479.0,15325088.0,1519.0,56.0,2229074855,1.0,20.57,0.61,21.18,19.13,5.77,0.00,18.30,2.27,25.51
2452414,40976.0,189883,34501587.0,856670.0,6479.0,15325088.0,1519.0,56.0,11917711477,1.0,20.57,0.61,21.18,19.13,5.77,0.00,18.30,2.27,25.51
2452414,40976.0,189883,34501587.0,856670.0,6479.0,15325088.0,1519.0,56.0,11426802373,1.0,20.57,0.61,21.18,19.13,5.77,0.00,18.30,2.27,25.51
2452414,40976.0,189883,34501587.0,856670.0,6479.0,15325088.0,1519.0,56.0,20685893376,1.0,20.57,0.61,21.18,19.13,5.77,0.00,18.30,2.27,25.51
2452414,40976.0,189883,34501587.0,856670.0,6479.0,15325088.0,1519.0,56.0,16499529781,1.0,20.57,0.61,21.18,19.13,5.77,0.00,18.30,2.27,25.51
2452414,40976.0,189883,34501587.0,856670.0,6479.0,15325088.0,1519.0,56.0,2835893053,1.0,20.57,0.61,21.18,19.13,5.77,0.00,18.30,2.27,25.51
2452414,40976.0,189883,34501587.0,856670.0,6479.0,15325088.0,1519.0,56.0,19772257122,1.0,20.57,0.61,21.18,19.13,5.77,0.00,18.30,2.27,25.51
2452414,40976.0,189883,34501587.0,856670.0,6479.0,15325088.0,1519.0,56.0,12204075121,1.0,20.57,0.61,21.18,19.13,5.77,0.00,18.30,2.27,25.51
