,carat,cut,color,clarity,depth,table,price,x,y,z
22004,2.52,Fair,G,I1,66.9,57.0,10076,8.39,8.33,5.6
23644,3.65,Fair,H,I1,67.1,53.0,11668,9.53,9.48,6.38
27415,5.01,Fair,J,I1,65.5,59.0,18018,10.74,10.54,6.98
24862,2.5,Fair,H,SI2,64.9,58.0,13278,8.46,8.43,5.48
25729,2.5,Fair,J,SI2,66.9,58.0,14652,8.36,8.22,5.55
27515,3.01,Fair,I,SI2,65.8,56.0,18242,8.99,8.94,5.9
27516,3.01,Fair,I,SI2,65.8,56.0,18242,8.99,8.94,5.9
25877,2.43,Fair,G,SI2,64.5,57.0,14975,8.41,8.36,5.41
27630,4.5,Fair,J,I1,65.8,58.0,18531,10.23,10.16,6.72
24275,2.58,Fair,F,SI2,65.2,59.0,12500,8.58,8.51,5.57
27543,2.51,Fair,H,SI2,64.7,57.0,18308,8.44,8.5,5.48
25237,2.52,Fair,H,SI2,65.4,59.0,13846,8.49,8.42,5.53
24523,2.29,Fair,J,SI1,56.8,66.0,12811,8.79,8.69,4.96
25137,2.29,Fair,J,VS2,57.0,66.0,13701,8.8,8.6,4.98
24863,2.5,Fair,H,SI2,64.9,58.0,13278,8.46,8.43,5.48
25440,2.5,Fair,G,SI2,67.0,57.0,14194,8.36,8.29,5.58
25899,2.48,Fair,I,SI2,56.7,66.0,15030,8.88,8.64,4.99
27420,2.32,Fair,H,SI1,62.0,62.0,18026,8.47,8.31,5.2
27130,4.13,Fair,H,I1,64.8,61.0,17329,10.0,9.85,6.43
26933,3.0,Fair,I,SI2,64.8,59.0,16970,8.93,8.73,5.72
26287,2.52,Fair,J,SI2,65.1,56.0,15776,8.51,8.43,5.51
22540,3.02,Fair,I,I1,65.2,56.0,10577,9.11,9.02,5.91
26320,2.4,Fair,J,SI2,65.4,56.0,15824,8.35,8.29,5.44
26431,3.4,Fair,D,I1,66.8,52.0,15964,9.42,9.34,6.27
27161,2.5,Fair,F,SI2,65.8,58.0,17405,8.38,8.31,5.49
26956,2.6,Fair,G,SI2,64.6,57.0,17027,8.6,8.55,5.54
26999,2.53,Fair,H,SI2,64.6,59.0,17103,8.54,8.45,5.4
22741,3.01,Fair,H,I1,56.1,62.0,10761,9.54,9.38,5.31
26971,2.27,Good,J,VS1,59.3,61.0,17051,8.47,8.55,5.05
27239,2.52,Good,G,SI2,63.7,59.0,17608,8.57,8.52,5.44
25192,2.61,Good,I,SI2,64.2,63.0,13784,8.66,8.57,5.53
27518,3.01,Good,I,SI2,63.9,60.0,18242,9.06,9.01,5.77
25113,2.32,Good,J,SI1,60.3,61.0,13654,8.56,8.52,5.15
27550,2.5,Good,J,VS2,62.0,58.0,18325,8.63,8.6,5.34
27517,3.01,Good,I,SI2,63.9,60.0,18242,9.06,9.01,5.77
25453,2.51,Good,I,SI2,63.7,61.0,14209,8.51,8.48,5.41
26554,2.66,Good,H,SI2,63.8,57.0,16239,8.71,8.65,5.54
26005,2.56,Good,J,SI2,63.6,62.0,15231,8.62,8.57,5.47
25458,2.28,Good,J,SI1,63.7,55.0,14220,8.28,8.35,5.3
26553,2.66,Good,H,SI2,63.8,57.0,16239,8.71,8.65,5.54
25479,2.27,Good,H,SI2,63.6,58.0,14249,8.37,8.29,5.3
25480,2.51,Good,G,SI2,59.5,65.0,14251,8.87,8.74,5.24
25531,2.28,Good,J,SI1,63.7,55.0,14350,8.35,8.28,5.3
27353,2.41,Good,I,SI2,57.7,61.0,17923,8.87,8.83,5.11
25850,3.0,Good,J,SI2,59.3,64.0,14918,9.32,9.19,5.5
26559,2.26,Good,I,SI2,56.9,60.0,16241,8.73,8.66,4.95
24840,2.33,Good,G,SI2,63.9,60.0,13242,8.37,8.3,5.32
25790,2.55,Good,H,SI2,63.7,59.0,14775,8.66,8.57,5.49
27739,2.8,Good,G,SI2,63.8,58.0,18788,8.9,8.85,0.0
24124,2.36,Good,J,SI2,58.9,64.0,12286,8.75,8.68,5.14
23539,3.0,Good,E,I1,64.2,65.0,11548,9.08,8.96,5.79
27633,2.4,Good,I,SI1,56.9,62.0,18541,8.87,8.81,5.03
24627,2.34,Good,J,VS2,63.9,62.0,12961,8.4,8.34,5.35
24616,2.3,Good,I,SI2,63.8,55.0,12944,8.4,8.35,5.34
27649,3.01,Good,H,SI2,57.6,64.0,18593,9.44,9.38,5.42
27672,2.67,Good,F,SI2,63.8,58.0,18686,8.69,8.64,5.54
27616,2.66,Good,H,SI2,64.3,60.0,18495,8.71,8.65,5.58
22831,3.0,Good,I,I1,57.0,64.0,10863,9.38,9.31,5.33
27163,2.64,Ideal,H,SI2,62.3,55.0,17407,8.88,8.83,5.52
26447,2.5,Ideal,J,SI2,60.7,55.0,15990,8.8,8.66,5.3
27146,2.39,Ideal,J,VS1,62.1,57.0,17365,8.53,8.57,5.31
24784,2.75,Ideal,D,I1,60.9,57.0,13156,9.04,8.98,5.49
23214,2.34,Ideal,H,I1,62.4,55.0,11221,8.51,8.44,5.29
27135,2.54,Ideal,G,SI2,62.7,56.0,17339,8.75,8.67,5.46
26467,3.01,Ideal,J,SI2,61.7,58.0,16037,9.25,9.2,5.69
26474,2.37,Ideal,J,VS2,62.2,57.0,16059,8.52,8.58,5.32
26455,2.53,Ideal,J,SI2,61.5,53.0,15993,8.78,8.74,5.39
27197,2.33,Ideal,I,VS2,62.0,57.0,17504,8.52,8.45,5.26
26256,2.27,Ideal,I,SI2,63.0,54.0,15710,8.36,8.39,5.28
26269,2.46,Ideal,G,SI2,63.0,56.0,15745,8.6,8.52,5.44
26212,2.26,Ideal,I,SI2,61.5,57.0,15606,8.36,8.44,5.17
26139,2.3,Ideal,G,SI2,61.6,57.0,15433,8.47,8.41,5.2
26138,2.47,Ideal,J,SI2,62.1,57.0,15430,8.64,8.57,5.34
27209,2.36,Ideal,J,VS2,60.1,59.0,17534,8.64,8.69,5.21
23234,2.36,Ideal,I,SI2,60.8,54.0,11238,8.68,8.57,5.24
26090,2.51,Ideal,H,SI1,62.9,56.0,15324,8.65,8.61,5.43
26043,2.5,Ideal,J,SI2,63.8,53.0,15246,8.56,8.5,5.45
27260,2.32,Ideal,I,SI2,62.0,57.0,17676,8.49,8.45,5.25
27284,2.56,Ideal,J,SI1,61.4,58.0,17753,8.73,8.76,5.37
27302,2.72,Ideal,J,SI2,62.1,56.0,17801,8.97,8.93,5.56
27314,2.36,Ideal,J,VS1,61.6,57.0,17829,8.6,8.55,5.28
27202,2.32,Ideal,I,SI2,62.0,57.0,17516,8.45,8.49,5.25
26475,2.3,Ideal,J,VS2,62.4,56.0,16062,8.44,8.49,5.28
26528,2.28,Ideal,I,SI2,62.9,57.0,16187,8.41,8.34,5.27
26525,2.3,Ideal,I,SI2,61.8,57.0,16181,8.45,8.48,5.23
26904,2.26,Ideal,I,SI1,62.4,57.0,16904,8.43,8.37,5.24
26885,2.42,Ideal,H,SI2,62.3,57.0,16826,8.62,8.55,5.35
26916,2.37,Ideal,H,SI2,62.1,55.0,16937,8.52,8.54,5.3
26924,2.5,Ideal,I,VS2,61.9,57.0,16955,8.7,8.68,5.38
26931,2.28,Ideal,E,SI2,62.0,55.0,16969,8.49,8.45,5.25
26864,2.37,Ideal,J,VS2,62.2,57.0,16789,8.58,8.52,5.32
26818,2.53,Ideal,I,SI1,62.4,57.0,16709,8.68,8.59,5.39
26815,2.36,Ideal,I,SI2,62.8,55.0,16707,8.47,8.5,5.33
26804,2.4,Ideal,J,SI1,62.7,57.0,16687,8.6,8.5,5.36
26937,2.41,Ideal,I,SI2,62.5,57.0,16987,8.57,8.51,5.34
26767,2.28,Ideal,J,VS1,62.6,54.2,16592,8.37,8.41,5.25
26766,2.45,Ideal,F,SI2,62.0,55.0,16589,8.67,8.64,5.36
26744,3.01,Ideal,J,I1,65.4,60.0,16538,8.99,8.93,5.86
26948,2.26,Ideal,J,VS2,61.1,57.0,17010,8.44,8.47,5.17
26659,2.46,Ideal,J,SI2,62.3,57.0,16466,8.66,8.57,5.37
26657,2.59,Ideal,J,VS1,61.7,56.0,16465,8.83,8.77,5.43
26652,2.28,Ideal,J,VS2,62.7,57.0,16450,8.43,8.36,5.26
26963,2.4,Ideal,I,SI2,63.8,58.0,17039,8.41,8.37,5.35
27727,2.61,Ideal,I,SI2,62.1,56.0,18756,8.85,8.73,5.46
26600,2.3,Ideal,I,SI2,61.8,57.0,16329,8.48,8.45,5.23
27023,2.51,Ideal,H,SI2,62.0,57.0,17162,8.72,8.67,5.39
26569,2.4,Ideal,J,SI1,60.6,57.0,16274,8.62,8.76,5.26
27070,2.3,Ideal,I,SI1,62.2,60.0,17193,8.43,8.39,5.23
27081,2.61,Ideal,J,SI2,64.6,55.0,17209,8.61,8.57,5.55
