item_name,choice_description,quantity,item_price1
Chips and Fresh Tomato Salsa,,15,44.25
Carnitas Bowl,"[Roasted Chili Corn Salsa, [Fajita Vegetables, Rice, Black Beans, Cheese, Sour Cream, Guacamole, Lettuce]]",3,35.25
Chicken Burrito,"[Fresh Tomato Salsa, [Rice, Black Beans, Cheese, Sour Cream]]",4,35.0
Chicken Burrito,"[Fresh Tomato Salsa, [Fajita Vegetables, Rice, Black Beans, Cheese, Lettuce]]",4,35.0
Veggie Burrito,"[Fresh Tomato Salsa, [Fajita Vegetables, Rice, Black Beans, Cheese, Sour Cream, Guacamole]]",3,33.75
Chicken Bowl,"[[Fresh Tomato Salsa (Mild), Tomatillo-Green Chili Salsa (Medium), Roasted Chili Corn Salsa (Medium)], [Black Beans, Rice, Fajita Veggies, Cheese, Guacamole, Lettuce]]",3,32.94
Steak Burrito,"[Fresh Tomato Salsa, [Rice, Black Beans, Cheese, Sour Cream]]",3,27.75
Steak Burrito,"[Fresh Tomato Salsa, [Fajita Vegetables, Rice, Black Beans, Cheese, Lettuce]]",3,27.75
Chicken Bowl,"[Fresh Tomato Salsa, [Rice, Black Beans, Cheese, Sour Cream, Lettuce]]",3,26.25
Chicken Burrito,[Fresh Tomato Salsa],3,26.25
Chicken Burrito,"[Fresh Tomato Salsa, Rice]",3,26.25
Steak Bowl,"[Tomatillo Green Chili (Medium), [Rice, Black Beans, Sour Cream, Cheese]]",3,26.07
Steak Salad Bowl,"[Tomatillo Red Chili Salsa, [Black Beans, Cheese, Guacamole]]",2,23.78
Steak Salad Bowl,"[Tomatillo Red Chili Salsa, [Fajita Vegetables, Black Beans, Cheese, Guacamole, Lettuce]]",2,23.78
Steak Bowl,"[Fresh Tomato Salsa, [Rice, Pinto Beans, Sour Cream, Cheese, Lettuce, Guacamole]]",2,23.5
Steak Bowl,"[Fresh Tomato Salsa, [Fajita Vegetables, Sour Cream, Cheese, Lettuce, Guacamole]]",2,23.5
Steak Burrito,"[Tomatillo Green Chili Salsa, [Fajita Vegetables, Rice, Cheese, Sour Cream, Guacamole, Lettuce]]",2,23.5
Carnitas Bowl,"[Roasted Chili Corn Salsa, [Fajita Vegetables, Rice, Black Beans, Cheese, Sour Cream, Guacamole, Lettuce]]",2,23.5
Steak Bowl,"[Fresh Tomato Salsa, [Rice, Black Beans, Cheese, Sour Cream, Guacamole]]",2,23.5
Steak Bowl,"[Tomatillo Red Chili Salsa, [Fajita Vegetables, Rice, Black Beans, Cheese, Sour Cream, Guacamole, Lettuce]]",2,23.5
Steak Burrito,"[[Tomatillo-Green Chili Salsa (Medium), Roasted Chili Corn Salsa (Medium), Tomatillo-Red Chili Salsa (Hot)], [Black Beans, Rice, Cheese, Sour Cream, Guacamole, Lettuce]]",2,22.96
Chicken Salad Bowl,"[Tomatillo Green Chili Salsa, [Black Beans, Cheese, Guacamole]]",2,22.5
Chicken Salad Bowl,"[Tomatillo Green Chili Salsa, [Black Beans, Cheese, Guacamole]]",2,22.5
Chicken Salad Bowl,"[Tomatillo Green Chili Salsa, [Black Beans, Cheese, Guacamole]]",2,22.5
Chicken Salad Bowl,"[Fresh Tomato Salsa, [Black Beans, Cheese, Guacamole]]",2,22.5
Chicken Bowl,"[Roasted Chili Corn Salsa, [Rice, Black Beans, Cheese, Guacamole]]",2,22.5
Chicken Salad Bowl,"[Tomatillo Green Chili Salsa, [Black Beans, Cheese, Guacamole]]",2,22.5
Chicken Salad Bowl,"[Tomatillo Green Chili Salsa, [Black Beans, Cheese, Guacamole]]",2,22.5
Chicken Salad Bowl,"[Tomatillo Green Chili Salsa, [Sour Cream, Cheese, Guacamole]]",2,22.5
Chicken Bowl,"[Fresh Tomato Salsa, [Rice, Sour Cream, Guacamole]]",2,22.5
Chicken Bowl,"[Fresh Tomato Salsa, [Rice, Fajita Vegetables, Black Beans, Sour Cream, Cheese, Lettuce, Guacamole]]",2,22.5
Chicken Salad Bowl,"[Tomatillo Green Chili Salsa, [Black Beans, Sour Cream, Cheese, Lettuce, Guacamole]]",2,22.5
Chicken Salad Bowl,"[Fresh Tomato Salsa, [Black Beans, Cheese, Guacamole]]",2,22.5
Chicken Salad Bowl,"[Fresh Tomato Salsa, [Fajita Vegetables, Pinto Beans, Guacamole]]",2,22.5
Bowl,"[Braised Carnitas, Pinto Beans, [Sour Cream, Cheese, Cilantro-Lime Rice]]",3,22.2
Steak Burrito,"[Fresh Tomato (Mild), [Lettuce, Guacamole, Rice, Cheese]]",2,22.16
Steak Burrito,"[Fresh Tomato (Mild), [Lettuce, Guacamole, Rice, Cheese]]",2,22.16
Chicken Bowl,"[Tomatillo-Red Chili Salsa (Hot), [Pinto Beans, Cheese, Sour Cream, Rice, Fajita Veggies, Guacamole]]",2,21.96
Chicken Burrito,"[Tomatillo-Green Chili Salsa (Medium), [Pinto Beans, Rice, Fajita Veggies, Cheese, Sour Cream, Guacamole, Lettuce]]",2,21.96
Chicken Burrito,"[Tomatillo-Red Chili Salsa (Hot), [Lettuce, Guacamole, Sour Cream, Cheese, Rice, Black Beans]]",2,21.96
Chicken Bowl,"[Tomatillo-Red Chili Salsa (Hot), [Sour Cream, Cheese, Fajita Veggies, Guacamole, Rice, Pinto Beans]]",2,21.96
Chicken Bowl,"[Tomatillo-Red Chili Salsa (Hot), [Rice, Fajita Veggies, Pinto Beans, Sour Cream, Cheese, Guacamole]]",2,21.96
Chicken Bowl,"[Tomatillo-Red Chili Salsa (Hot), [Pinto Beans, Rice, Fajita Veggies, Cheese, Sour Cream, Guacamole]]",2,21.96
Chicken Soft Tacos,"[[Tomatillo-Green Chili Salsa (Medium), Fresh Tomato Salsa (Mild)], [Cheese, Sour Cream, Guacamole]]",2,21.96
Chicken Bowl,"[Tomatillo-Green Chili Salsa (Medium), [Black Beans, Rice, Fajita Veggies, Cheese, Sour Cream, Guacamole, Lettuce]]",2,21.96
Chicken Bowl,"[Tomatillo-Red Chili Salsa (Hot), [Pinto Beans, Rice, Fajita Veggies, Cheese, Sour Cream, Guacamole]]",2,21.96
Chicken Bowl,"[Tomatillo-Red Chili Salsa (Hot), [Rice, Pinto Beans, Fajita Veggies, Cheese, Sour Cream, Guacamole]]",2,21.96
Steak Bowl,"[Fresh Tomato Salsa, [Rice, Pinto Beans, Cheese, Sour Cream, Lettuce]]",2,18.5
Carnitas Burrito,"[Tomatillo Red Chili Salsa, [Rice, Pinto Beans, Cheese, Sour Cream]]",2,18.5
Steak Burrito,"[Tomatillo Red Chili Salsa, [Rice, Black Beans, Cheese, Lettuce, Sour Cream]]",2,18.5
Steak Burrito,"[Fresh Tomato Salsa, [Rice, Cheese, Sour Cream]]",2,18.5
Steak Burrito,"[Fresh Tomato Salsa, [Fajita Vegetables, Rice, Pinto Beans, Cheese, Sour Cream, Lettuce]]",2,18.5
Steak Bowl,"[Fresh Tomato Salsa, [Rice, Black Beans, Cheese]]",2,18.5
Steak Burrito,"[Fresh Tomato Salsa, [Sour Cream, Lettuce, Cheese, Rice]]",2,18.5
Steak Burrito,"[Tomatillo Red Chili Salsa, [Cheese, Black Beans, Rice, Lettuce, Sour Cream]]",2,18.5
Steak Soft Tacos,"[Fresh Tomato Salsa, [Cheese, Lettuce]]",2,18.5
Barbacoa Crispy Tacos,"[Fresh Tomato Salsa, [Sour Cream, Cheese, Rice]]",2,18.5
Steak Bowl,"[Fresh Tomato Salsa, [Rice, Black Beans, Cheese]]",2,18.5
Steak Burrito,"[Fresh Tomato Salsa, [Lettuce, Sour Cream, Cheese, Fajita Vegetables, Pinto Beans, Rice]]",2,18.5
Carnitas Crispy Tacos,"[Fresh Tomato Salsa (Mild), [Cheese, Lettuce]]",2,17.98
Steak Crispy Tacos,"[Tomatillo-Red Chili Salsa (Hot), [Pinto Beans, Cheese, Sour Cream, Lettuce]]",2,17.98
Steak Burrito,"[Tomatillo-Red Chili Salsa (Hot), [Rice, Cheese, Sour Cream, Lettuce]]",2,17.98
Steak Bowl,"[Roasted Chili Corn Salsa (Medium), [Black Beans, Rice, Cheese]]",2,17.98
Steak Burrito,"[Fresh Tomato Salsa (Mild), [Pinto Beans, Cheese, Lettuce]]",2,17.98
Steak Burrito,"[Fresh Tomato Salsa (Mild), [Black Beans, Rice, Fajita Veggies, Cheese]]",2,17.98
Steak Burrito,"[[Tomatillo-Green Chili Salsa (Medium), Tomatillo-Red Chili Salsa (Hot)], [Black Beans, Rice, Fajita Veggies, Sour Cream]]",2,17.98
Chips and Guacamole,,4,17.8
Chicken Burrito,"[Fresh Tomato Salsa, [Rice, Black Beans, Cheese, Sour Cream, Lettuce]]",2,17.5
Chicken Burrito,"[Fresh Tomato Salsa, [Lettuce, Rice, Black Beans, Cheese]]",2,17.5
Chicken Burrito,"[Fresh Tomato Salsa, Rice]",2,17.5
Chicken Burrito,"[Fresh Tomato Salsa, [Fajita Vegetables, Rice, Pinto Beans, Cheese, Sour Cream]]",2,17.5
Chicken Burrito,"[Tomatillo Red Chili Salsa, [Cheese, Black Beans, Rice]]",2,17.5
Chicken Crispy Tacos,[Tomatillo Red Chili Salsa],2,17.5
Chicken Burrito,"[Fresh Tomato Salsa, [Cheese, Rice, Black Beans, Lettuce]]",2,17.5
Chicken Burrito,"[Fresh Tomato Salsa, [Rice, Black Beans, Cheese, Sour Cream, Lettuce]]",2,17.5
Chicken Burrito,"[Tomatillo Red Chili Salsa, Rice]",2,17.5
Chicken Bowl,"[Fresh Tomato Salsa, [Fajita Vegetables, Rice, Lettuce]]",2,17.5
Chicken Bowl,"[Fresh Tomato Salsa, [Fajita Vegetables, Rice, Sour Cream, Lettuce]]",2,17.5
Chicken Burrito,"[Fresh Tomato Salsa, [Rice, Black Beans, Cheese, Sour Cream]]",2,17.5
Chicken Burrito,"[Tomatillo Red Chili Salsa, [Rice, Black Beans, Cheese]]",2,17.5
Chicken Bowl,"[Fresh Tomato Salsa, [Rice, Cheese, Sour Cream, Lettuce]]",2,17.5
Chicken Salad Bowl,"[Fresh Tomato Salsa, Fajita Vegetables]",2,17.5
Chicken Soft Tacos,"[Fresh Tomato Salsa, Sour Cream]",2,17.5
Chicken Bowl,"[Fresh Tomato Salsa, [Black Beans, Cheese, Sour Cream]]",2,17.5
Chicken Burrito,"[Fresh Tomato Salsa, [Rice, Black Beans, Cheese, Sour Cream, Lettuce]]",2,17.5
Chicken Bowl,"[Fresh Tomato Salsa, [Rice, Cheese, Black Beans]]",2,17.5
Chicken Burrito,"[Tomatillo Red Chili Salsa, [Rice, Black Beans, Cheese, Sour Cream, Lettuce]]",2,17.5
Chicken Burrito,"[Fresh Tomato Salsa, [Sour Cream, Cheese, Pinto Beans, Rice]]",2,17.5
Chicken Salad Bowl,"[Fresh Tomato Salsa, [Fajita Vegetables, Pinto Beans, Lettuce]]",2,17.5
Chicken Salad Bowl,"[Fresh Tomato Salsa, [Pinto Beans, Cheese, Lettuce]]",2,17.5
Chicken Bowl,"[Fresh Tomato Salsa, [Fajita Vegetables, Rice, Lettuce]]",2,17.5
Chicken Burrito,"[Fresh Tomato Salsa, Rice]",2,17.5
Chicken Burrito,"[Fresh Tomato Salsa, [Rice, Black Beans, Cheese, Sour Cream]]",2,17.5
Chicken Burrito,"[Fresh Tomato Salsa, [Rice, Black Beans, Cheese, Sour Cream, Lettuce]]",2,17.5
Chicken Burrito,"[Fresh Tomato Salsa, [Rice, Black Beans, Cheese, Sour Cream, Lettuce]]",2,17.5
Chicken Bowl,"[Fresh Tomato Salsa, [Rice, Pinto Beans, Cheese, Lettuce]]",2,17.5
Chicken Crispy Tacos,"[Tomatillo Red Chili Salsa, [Cheese, Sour Cream, Lettuce]]",2,17.5
Chicken Burrito,"[Fresh Tomato Salsa, [Rice, Black Beans, Cheese, Sour Cream]]",2,17.5
Chicken Burrito,"[Fresh Tomato Salsa, Rice]",2,17.5
Chicken Burrito,"[Tomatillo Red Chili Salsa, [Rice, Black Beans, Sour Cream, Cheese, Lettuce]]",2,17.5
Chicken Bowl,"[Fresh Tomato Salsa, [Fajita Vegetables, Rice, Lettuce]]",2,17.5
Chicken Burrito,"[Fresh Tomato Salsa, Rice]",2,17.5
Chicken Bowl,"[Fresh Tomato Salsa, [Rice, Black Beans, Cheese, Sour Cream]]",2,17.5
Chicken Soft Tacos,"[Fresh Tomato Salsa, [Sour Cream, Lettuce]]",2,17.5
Chicken Burrito,"[Tomatillo Red Chili Salsa, [Cheese, Rice, Black Beans]]",2,17.5
Chicken Bowl,[Tomatillo Red Chili Salsa],2,17.5
Chicken Bowl,"[Fresh Tomato Salsa, [Fajita Vegetables, Rice, Lettuce]]",2,17.5
Chicken Bowl,"[[Roasted Chili Corn Salsa (Medium), Fresh Tomato Salsa (Mild)], [Rice, Fajita Veggies]]",2,16.98
Chicken Bowl,"[Tomatillo-Red Chili Salsa (Hot), [Black Beans, Rice, Cheese, Sour Cream]]",2,16.98
Chicken Burrito,"[Fresh Tomato Salsa (Mild), [Black Beans, Rice, Fajita Veggies, Cheese]]",2,16.98
Chicken Bowl,"[Tomatillo-Red Chili Salsa (Hot), [Cheese, Sour Cream, Fajita Veggies, Pinto Beans, Rice]]",2,16.98
Chicken Bowl,"[[Fresh Tomato Salsa (Mild), Roasted Chili Corn Salsa (Medium)], [Rice, Fajita Veggies]]",2,16.98
Chicken Bowl,"[[Roasted Chili Corn Salsa (Medium), Fresh Tomato Salsa (Mild)], [Rice, Fajita Veggies]]",2,16.98
Chicken Crispy Tacos,"[Fresh Tomato Salsa (Mild), [Rice, Cheese, Sour Cream, Lettuce]]",2,16.98
Veggie Soft Tacos,"[Fresh Tomato Salsa (Mild), [Black Beans, Rice, Cheese, Lettuce]]",2,16.98
Chicken Soft Tacos,"[Fresh Tomato Salsa (Mild), [Pinto Beans, Rice, Cheese, Lettuce]]",2,16.98
Veggie Bowl,"[Fresh Tomato Salsa (Mild), [Rice, Sour Cream, Cheese, Pinto Beans]]",2,16.98
Chicken Burrito,"[Roasted Chili Corn Salsa (Medium), [Sour Cream, Cheese, Black Beans, Rice]]",2,16.98
Chicken Bowl,"[[Roasted Chili Corn Salsa (Medium), Fresh Tomato Salsa (Mild)], [Rice, Fajita Veggies]]",2,16.98
Chicken Bowl,"[[Roasted Chili Corn Salsa (Medium), Fresh Tomato Salsa (Mild)], [Rice, Fajita Veggies]]",2,16.98
Chicken Soft Tacos,"[Fresh Tomato Salsa (Mild), [Pinto Beans, Rice, Cheese, Sour Cream, Lettuce]]",2,16.98
Chicken Bowl,"[[Roasted Chili Corn Salsa (Medium), Fresh Tomato Salsa (Mild)], [Rice, Fajita Veggies]]",2,16.98
Veggie Bowl,"[Fresh Tomato Salsa (Mild), [Black Beans, Rice, Fajita Veggies, Cheese, Lettuce]]",2,16.98
Chicken Bowl,"[[Fresh Tomato Salsa (Mild), Roasted Chili Corn Salsa (Medium)], [Fajita Veggies, Rice]]",2,16.98
Chicken Bowl,"[Fresh Tomato Salsa (Mild), [Black Beans, Rice, Fajita Veggies, Cheese]]",2,16.98
Chicken Burrito,"[Roasted Chili Corn Salsa (Medium), [Black Beans, Rice, Cheese, Sour Cream]]",2,16.98
Chicken Burrito,"[[Lettuce, Rice]]",2,16.38
Bottled Water,,10,15.0
Side of Chips,,8,13.52
Chips and Guacamole,,3,13.35
6 Pack Soft Drink,[Diet Coke],2,12.98
Steak Salad Bowl,"[Fresh Tomato Salsa, [Fajita Vegetables, Sour Cream, Cheese, Lettuce, Guacamole]]",1,11.89
Steak Salad Bowl,"[Tomatillo Red Chili Salsa, [Rice, Black Beans, Cheese, Sour Cream, Guacamole, Lettuce]]",1,11.89
Steak Salad Bowl,"[Fresh Tomato Salsa, [Pinto Beans, Cheese, Guacamole, Lettuce]]",1,11.89
Carnitas Salad Bowl,"[Roasted Chili Corn Salsa, [Fajita Vegetables, Rice, Pinto Beans, Cheese, Sour Cream, Guacamole, Lettuce]]",1,11.89
Steak Salad Bowl,"[Fresh Tomato Salsa, [Rice, Pinto Beans, Cheese, Sour Cream, Guacamole, Lettuce]]",1,11.89
Steak Salad Bowl,"[Fresh Tomato Salsa, [Fajita Vegetables, Black Beans, Cheese, Sour Cream, Guacamole]]",1,11.89
Steak Salad Bowl,"[Roasted Chili Corn Salsa, [Fajita Vegetables, Rice, Pinto Beans, Cheese, Sour Cream, Guacamole, Lettuce]]",1,11.89
Carnitas Salad Bowl,"[Roasted Chili Corn Salsa, [Fajita Vegetables, Rice, Black Beans, Cheese, Sour Cream, Guacamole, Lettuce]]",1,11.89
Steak Salad Bowl,"[Fresh Tomato Salsa, [Fajita Vegetables, Rice, Cheese, Sour Cream, Guacamole, Lettuce]]",1,11.89
Steak Salad Bowl,"[Fresh Tomato Salsa, [Rice, Black Beans, Cheese, Guacamole]]",1,11.89
Barbacoa Salad Bowl,"[Tomatillo Red Chili Salsa, [Black Beans, Cheese, Sour Cream, Guacamole]]",1,11.89
Barbacoa Salad Bowl,"[Tomatillo Green Chili Salsa, [Rice, Fajita Vegetables, Pinto Beans, Sour Cream, Cheese, Lettuce, Guacamole]]",1,11.89
Steak Salad Bowl,"[Roasted Chili Corn Salsa, [Fajita Vegetables, Rice, Cheese, Guacamole, Lettuce]]",1,11.89
Steak Salad Bowl,"[Fresh Tomato Salsa, [Cheese, Guacamole, Lettuce]]",1,11.89
Steak Salad Bowl,"[Fresh Tomato Salsa, [Rice, Fajita Vegetables, Sour Cream, Cheese, Lettuce, Guacamole]]",1,11.89
Carnitas Salad Bowl,"[Fresh Tomato Salsa, [Rice, Black Beans, Cheese, Guacamole]]",1,11.89
Steak Salad Bowl,"[Fresh Tomato Salsa, [Fajita Vegetables, Guacamole]]",1,11.89
Barbacoa Salad Bowl,"[Fresh Tomato Salsa, Guacamole]",1,11.89
Barbacoa Salad Bowl,"[Fresh Tomato Salsa, [Fajita Vegetables, Rice, Black Beans, Cheese, Guacamole, Lettuce]]",1,11.89
Carnitas Salad Bowl,"[Tomatillo Green Chili Salsa, [Black Beans, Cheese, Guacamole]]",1,11.89
Barbacoa Salad Bowl,"[Fresh Tomato Salsa, [Rice, Fajita Vegetables, Pinto Beans, Black Beans, Sour Cream, Cheese, Lettuce, Guacamole]]",1,11.89
Steak Salad Bowl,"[Roasted Chili Corn Salsa, [Fajita Vegetables, Rice, Black Beans, Cheese, Sour Cream, Guacamole, Lettuce]]",1,11.89
Steak Salad Bowl,"[Fresh Tomato Salsa, [Fajita Vegetables, Rice, Black Beans, Cheese, Sour Cream, Guacamole]]",1,11.89
Steak Salad Bowl,"[Fresh Tomato Salsa, [Black Beans, Cheese, Guacamole, Lettuce]]",1,11.89
Steak Salad Bowl,"[Roasted Chili Corn Salsa, [Rice, Cheese, Lettuce, Guacamole]]",1,11.89
Steak Salad Bowl,"[Roasted Chili Corn Salsa, [Fajita Vegetables, Rice, Black Beans, Guacamole]]",1,11.89
Chips and Fresh Tomato Salsa,,4,11.8
Steak Burrito,"[Fresh Tomato Salsa, [Rice, Sour Cream, Cheese, Lettuce, Guacamole]]",1,11.75
Steak Burrito,"[Tomatillo Green Chili Salsa, [Rice, Cheese, Sour Cream, Guacamole]]",1,11.75
Barbacoa Bowl,"[Roasted Chili Corn Salsa, [Pinto Beans, Sour Cream, Cheese, Lettuce, Guacamole]]",1,11.75
Steak Burrito,"[Fresh Tomato Salsa, [Rice, Pinto Beans, Cheese, Sour Cream, Guacamole, Lettuce]]",1,11.75
Barbacoa Bowl,"[Tomatillo Red Chili Salsa, [Fajita Vegetables, Rice, Black Beans, Pinto Beans, Cheese, Sour Cream, Guacamole, Lettuce]]",1,11.75
Barbacoa Burrito,"[Roasted Chili Corn Salsa, [Rice, Black Beans, Cheese, Guacamole, Lettuce]]",1,11.75
Steak Bowl,"[Roasted Chili Corn Salsa, [Rice, Pinto Beans, Sour Cream, Cheese, Guacamole]]",1,11.75
Carnitas Burrito,"[Roasted Chili Corn Salsa, [Rice, Cheese, Guacamole]]",1,11.75
Steak Bowl,"[Fresh Tomato Salsa, [Fajita Vegetables, Cheese, Sour Cream, Guacamole]]",1,11.75
