Reporting_Period,Holder_Sector,Instrument_Type,Issuer_Region,Issuer_Sector,Nominal_Currency,Original_Maturity,Holding_Amount
2024-12,MMF,Debt Securities,United Kingdom,CI,Non-Euro,Short-Term,78509.00
2024-12,IF,Debt Securities,Other Euro Area,NFC,Non-Euro,Long-Term,6485.00
2024-12,NFC,Listed Shares,Other Euro Area,NFC,Euro,N/A,57.00
2024-12,OFI,Debt Securities,Ireland,OFI,Euro,Short-Term,299.00
2024-12,IF,Listed Shares,Other Euro Area,CI,Euro,N/A,19461.00
2024-12,MMF,Debt Securities,Other Euro Area,NFC,Euro,Short-Term,1063.00
2024-12,FVC,Debt Securities,Rest of World,NFC,Euro,Long-Term,16090.00
2024-12,IF,Debt Securities,United Kingdom,NFC,Non-Euro,Short-Term,129.00
2024-12,IF,Debt Securities,Other Euro Area,NFC,Euro,Long-Term,47932.00
2024-12,IF,Debt Securities,Other Euro Area,OFI,Non-Euro,Long-Term,17574.00
2024-12,IC,Debt Securities,Ireland,OFI,Non-Euro,Long-Term,1081.00
2024-12,OFI,Debt Securities,United States,NFC,Non-Euro,Long-Term,1496.00
2024-12,IF,Debt Securities,United Kingdom,NFC,Euro,Short-Term,69.00
2024-12,CI,Listed Shares,United Kingdom,NFC,Euro,N/A,176.00
2024-12,MMF,Debt Securities,Rest of World,OFI,Non-Euro,Long-Term,297.00
2024-12,OFI,Debt Securities,Rest of World,CI,Euro,Long-Term,990.00
2024-12,PF,Listed Shares,Rest of World,NFC,Non-Euro,N/A,323.00
2024-12,OFI,IF Shares,Rest of World,IF,Non-Euro,N/A,14.00
2024-12,MMF,Debt Securities,Ireland,OFI,Non-Euro,Short-Term,6115.00
2024-12,IC,Debt Securities,Rest of World,OFI,Euro,Long-Term,2216.00
2024-12,IC,Listed Shares,Rest of World,NFC,Euro,N/A,152.00
2024-12,PF,IF Shares,United Kingdom,IF,Non-Euro,N/A,80.00
2024-12,IF,Debt Securities,United States,OFI,Non-Euro,Short-Term,2482.00
2024-12,MMF,Debt Securities,Other Euro Area,GOV,Non-Euro,Long-Term,201.00
2024-12,CI,Debt Securities,Rest of World,GOV,Euro,Short-Term,107.00
2024-12,CI,Debt Securities,Other Euro Area,NFC,Euro,Short-Term,57.00
2024-12,CI,Debt Securities,Other Euro Area,OFI,Non-Euro,Short-Term,242.00
2024-12,IF,Debt Securities,United Kingdom,GOV,Non-Euro,Long-Term,192228.00
2024-12,OFI,IF Shares,United States,IF,Non-Euro,N/A,221.00
2024-12,PF,IF Shares,Other Euro Area,IF,Non-Euro,N/A,104.00
2024-12,MMF,Debt Securities,United Kingdom,NFC,Non-Euro,Short-Term,589.00
2024-12,OFI,IF Shares,Other Euro Area,IF,Euro,N/A,237.00
