Country,Year,GDP,Population, Life_Expectancy, Unemployment_Rate, CO2_Emissions, Electricity
Brazil,2010,1493220000000.00,829020000,66.70,3.81,10.79,76.76
Japan,2011,17562700000000.00,897010000,61.40,17.98,15.67,67.86
India,2012,16426880000000.00,669850000,69.10,16.02,2.08,81.08
Mexico,2013,11890010000000.00,113800000,80.10,6.26,19.13,53.46
India,2014,2673020000000.00,29710000,62.70,3.10,15.66,82.17
United Kingdom,2015,10711800000000.00,722560000,74.60,23.24,7.55,64.48
China,2016,6791480000000.00,1492810000,84.60,15.59,10.18,78.46
Indonesia,2017,9467220000000.00,118240000,80.90,10.91,2.87,61.41
United Kingdom,2018,13514030000000.00,1461580000,57.00,3.29,9.29,98.05
India,2019,14257200000000.00,802050000,59.90,18.61,19.10,92.80
Canada,2010,13802700000000.00,909050000,75.40,16.03,4.95,59.87
Argentina,2011,19337350000000.00,1084140000,55.70,19.14,15.86,71.43
India,2012,10492360000000.00,818780000,54.80,2.83,16.49,89.31
Nigeria,2013,6052290000000.00,447700000,82.50,8.56,14.32,98.22
Italy,2014,5800450000000.00,238740000,63.10,6.24,16.54,68.43
Indonesia,2015,10058870000000.00,348990000,62.40,6.82,5.43,99.76
Turkey,2016,6110370000000.00,257480000,84.60,4.08,7.08,65.68
Saudi Arabia,2017,15038000000000.00,1285920000,64.80,6.12,14.07,59.02
Nigeria,2018,11718130000000.00,158310000,65.20,18.78,16.61,89.47
Saudi Arabia,2019,12988290000000.00,766880000,84.90,16.91,3.41,66.31
Saudi Arabia,2010,11649850000000.00,1041990000,73.60,3.20,7.29,59.27
Russia,2011,6110630000000.00,932420000,71.60,6.56,0.81,82.59
France,2012,8354820000000.00,227020000,63.50,5.37,13.85,56.94
China,2013,17735350000000.00,578590000,82.60,18.97,10.62,57.82
United States,2014,13183730000000.00,1279810000,64.80,10.97,9.72,90.13
Argentina,2015,1549940000000.00,1304040000,52.40,11.64,17.15,59.42
Germany,2016,7563440000000.00,1344860000,77.00,10.91,13.91,72.79
Italy,2017,18064210000000.00,931890000,61.40,14.99,17.61,58.46
Mexico,2018,18120300000000.00,1013430000,53.00,24.12,7.01,88.90
United Kingdom,2019,7731710000000.00,354840000,68.70,21.30,3.16,58.83
