carat,cut,color,clarity,depth,table,price,x,y,z
0.25,Fair,F,SI2,54.4,64.0,1013,4.3,4.23,2.32
0.3,Fair,E,SI1,64.5,49.0,630,4.28,4.25,2.75
0.3,Fair,D,SI2,64.6,54.0,536,4.29,4.25,2.76
0.31,Fair,G,VVS2,65.5,58.0,629,4.25,4.24,2.78
0.5,Fair,H,VS1,66.5,60.0,1155,4.93,4.85,3.25
0.5,Fair,F,SI2,61.1,67.0,1156,5.07,5.04,3.09
0.5,Fair,F,VS1,65.0,55.0,1577,5.01,4.96,3.24
0.5,Fair,D,VVS2,67.6,57.0,1980,4.95,4.84,3.31
0.5,Fair,G,I1,64.9,57.0,727,5.01,4.97,3.24
0.3,Fair,F,VS2,56.3,64.0,729,4.44,4.39,2.5
0.37,Fair,F,IF,52.3,61.0,1166,4.96,4.91,2.58
0.3,Fair,E,VVS2,66.6,54.0,586,4.14,4.18,2.77
0.5,Fair,F,I1,68.3,58.0,627,4.91,4.78,3.32
0.5,Fair,F,I1,67.1,57.0,627,4.92,4.87,3.28
0.25,Fair,D,VS1,61.2,55.0,563,4.09,4.11,2.51
0.5,Fair,G,I1,65.2,56.0,727,4.95,4.89,3.21
0.5,Fair,H,VS2,65.1,59.0,1175,5.02,5.06,3.28
0.5,Fair,F,I1,69.8,55.0,584,4.89,4.8,3.38
0.3,Fair,E,VS2,66.7,59.0,630,4.23,4.05,2.78
0.32,Fair,F,SI1,64.4,54.0,638,4.36,4.33,2.8
0.39,Fair,G,IF,57.1,61.0,1127,4.83,4.88,2.77
0.47,Fair,I,VS2,57.1,61.0,919,5.11,5.15,2.93
0.5,Fair,E,VS1,56.1,64.0,1950,5.31,5.28,2.97
0.5,Fair,H,VS1,67.1,58.0,1134,4.94,4.89,3.3
0.5,Fair,H,VS1,66.6,58.0,1134,4.95,4.84,3.26
0.34,Fair,J,SI1,64.5,57.0,497,4.38,4.36,2.82
0.5,Fair,E,SI1,65.3,58.0,1134,4.99,4.91,3.23
0.5,Fair,H,VS1,66.3,55.0,1136,4.86,4.91,3.24
0.46,Fair,G,SI1,63.4,68.0,911,4.88,4.8,3.07
0.5,Fair,E,SI2,65.2,57.0,1141,4.96,4.91,3.22
0.48,Fair,E,SI2,55.2,60.0,907,5.29,5.25,2.91
0.4,Fair,G,VS2,64.6,55.0,722,4.62,4.64,2.99
0.3,Fair,F,SI1,63.1,58.0,496,4.3,4.22,2.69
0.47,Fair,F,SI2,67.6,57.0,719,4.81,4.72,3.23
